file,classes,x1,y1,x2,y2
./healthy/DSC03819.JPG,"['healthy', 'healthy']","[156.32349493507638, 37.960473415861884]","[62.735657637999026, 21.477065849790193]","[214.11927274325723, 117.83048055954347]","[157.99341941518318, 155.21845354303522]"
./healthy/DSC00027.JPG,"['healthy', 'healthy', 'healthy', 'healthy']","[166.73232234734246, 72.43558482566178, 22.046674310613326, 165.02927256036116]","[69.42158111640069, 38.495891044695156, 221.44084488959177, 121.4694335290834]","[214.8631036200294, 174.2340964034675, 78.7763619449751, 181.32851702732063]","[140.5969490017144, 186.20881879106315, 241.73654453206746, 165.64535204568062]"
./healthy/DSC00029.JPG,"['healthy', 'healthy', 'healthy']","[17.860642591973118, 112.79669837444038, 22.907041351069523]","[149.9926709465632, 178.56500294370193, 36.30735449302506]","[52.983411106581684, 129.6089306756102, 223.05957973442426]","[245.3575145134925, 179.06452602089155, 113.29066850768592]"
./healthy/DSC00035.JPG,"['healthy', 'healthy', 'healthy', 'healthy']","[153.5974320725792, 97.50833446641923, 221.7547246590196, 150.59013197945194]","[207.80728301152266, 176.68819328601182, 27.701754976826237, 241.00657795586292]","[219.85139642229657, 103.55264955919225, 247.5839552945127, 218.69055780186434]","[249.3487524448446, 190.39176304934108, 215.31155941172494, 241.05040562457606]"
./healthy/DSC00036.JPG,"['healthy', 'healthy']","[71.53145534524143, 107.38477300254849]","[38.14131716717657, 31.95150767900114]","[78.60206067479189, 129.37902004765277]","[146.46026162935203, 236.79393224162044]"
./healthy/DSC00037.JPG,['healthy'],[20.227258004910738],[78.29083222539867],[111.99784136912686],[174.22968347714857]
./healthy/DSC00038.JPG,"['healthy', 'healthy', 'healthy', 'healthy']","[77.88091242472751, 1.289928680366529, 89.07643976640901, 83.31678555866816]","[149.77726881353692, 24.92639378325353, 68.89805704720874, 132.24534594067381]","[162.46508683849908, 100.25754910531325, 113.91255142776072, 124.65913064305852]","[196.56503308977582, 25.946086351962975, 233.56544684082556, 162.75239281691776]"
./healthy/DSC00039.JPG,"['healthy', 'healthy', 'healthy']","[57.497575642405536, 197.27320940131466, 55.41932679193448]","[149.05409325551398, 8.261647047969745, 79.4685669929554]","[147.25404690293507, 255.49108503911515, 136.36412150447754]","[206.85099350741805, 110.9472725767535, 222.8370349579983]"
./healthy/DSC00040.JPG,"['healthy', 'healthy', 'healthy']","[112.26294673976261, 106.011155848236, 87.33147461114913]","[78.20603071044121, 49.967855579429255, 11.342587383144775]","[214.82434515661157, 134.93125740472263, 89.94676028371816]","[241.18839401157248, 189.90304121164218, 165.9126617796628]"
./healthy/DSC00044.JPG,['healthy'],[63.713755538146955],[59.42941635580914],[145.52838983310875],[216.4425361904132]
./healthy/DSC00047.JPG,"['healthy', 'healthy']","[58.509865981121834, 125.4555350904466]","[32.60628530110077, 90.43081390896705]","[232.64212682076214, 171.1989860556848]","[156.92388136789833, 93.95396120589533]"
./healthy/DSC00048.JPG,"['healthy', 'healthy']","[169.54561045643212, 150.7624513786425]","[11.950428415616358, 36.69640341542606]","[225.0183072269468, 241.23702995013355]","[56.65077541699631, 193.19273469544027]"
./healthy/DSC00049.JPG,"['healthy', 'healthy']","[87.48220825373082, 60.19473231238561]","[166.33354599880616, 70.68914300684966]","[227.8983966518959, 244.94126171305095]","[224.22877879748393, 123.31475911782849]"
./healthy/DSC00079.JPG,"['healthy', 'healthy']","[56.75432584538689, 201.84963312010848]","[117.58634789187875, 106.59440306352255]","[145.06702108658308, 222.75017152529833]","[153.8412233811127, 162.8806540933041]"
./healthy/DSC00080.JPG,['healthy'],[10.1174621182615],[128.83082559648815],[23.58451911953665],[254.97439327778955]
./healthy/DSC00081.JPG,"['healthy', 'healthy', 'healthy']","[67.04616397480851, 66.68290089071564, 47.280863651228486]","[64.79229004897218, 153.69072185680355, 38.07695881396063]","[87.09843052513344, 72.09352517018283, 54.54880846625113]","[200.98342919237479, 163.80093102150295, 211.397504707436]"
./healthy/DSC00082.JPG,"['healthy', 'healthy']","[113.73097871862845, 217.76366860319953]","[73.55341141458084, 171.7876450626052]","[145.52694477873894, 249.68762041470933]","[192.28522569532294, 205.79238440350815]"
./healthy/DSC00083.JPG,"['healthy', 'healthy', 'healthy']","[38.82568695841991, 9.848524136261602, 7.633569655384321]","[46.20324607921117, 21.120965031090236, 10.650381234100138]","[50.32854391426565, 59.391908611030914, 202.3457603170669]","[64.8595611620924, 26.55176116807212, 33.66860366292232]"
./healthy/IMG20190523140216.jpg,['healthy'],[48.193534653881756],[125.2035964647931],[178.33011991504455],[199.4480348422152]
./healthy/IMG20190523140217.jpg,"['healthy', 'healthy', 'healthy', 'healthy']","[168.18726396020344, 15.270052314937345, 81.67623394707022, 179.2490963551253]","[111.16770915993541, 2.505584281279539, 82.46786424760577, 186.8319456507453]","[171.6791722565047, 201.17186277377138, 222.33290475855338, 229.26144220423362]","[250.62805078819946, 76.04599116634321, 163.53916711910622, 254.36793780878196]"
./healthy/IMG20190523140218.jpg,"['healthy', 'healthy', 'healthy', 'healthy']","[136.61447957307223, 57.63049288710695, 141.21273130827439, 39.444945245730395]","[109.71159038076661, 139.7540117036077, 78.0522550410233, 60.95104696643426]","[219.92543453539645, 134.27758364817302, 154.78385247389375, 136.60371267158897]","[214.9670618483034, 230.18126707704184, 94.82649514433501, 109.54564742305922]"
